#1) phi1 (deg)
#2) phi2 - 1 sigma (deg)
#3) phi2 (median) (deg)
#4) phi2 + 1 sigma (deg)
-8.08 -2.09140638502 -2.0445498658 -1.99760023428 ## by land
-4.56 -0.853194937014 -0.833559250823 -0.814105072771
-4.54 -0.848487480266 -0.828762037782 -0.809291599794
-4.52 -0.843794991682 -0.824019976985 -0.804475973394
-4.5 -0.839126548599 -0.81930833384 -0.799707023734
-4.48 -0.834473769818 -0.814630033032 -0.794966580018
-4.46 -0.829872289184 -0.809960457536 -0.790279109149
-4.44 -0.825282876915 -0.805315084212 -0.78558250559
-4.42 -0.820730618173 -0.800731850534 -0.780960808413
-4.4 -0.816224101665 -0.796142661762 -0.776358082357
-4.38 -0.811750709539 -0.791598700771 -0.771777907261
-4.36 -0.807285956809 -0.787092568818 -0.767235431052
-4.34 -0.802855701037 -0.782611848231 -0.762745528712
-4.32 -0.798461608569 -0.778173360788 -0.758283650905
-4.3 -0.794094220032 -0.773764099793 -0.75385827891
-4.28 -0.789789595706 -0.769363137186 -0.749441460619
-4.26 -0.785482509304 -0.7650095786 -0.745059065827
-4.24 -0.781203616215 -0.760716457977 -0.740710022914
-4.22 -0.77694064156 -0.756442864256 -0.736392872588
-4.2 -0.772685594422 -0.752203609038 -0.732106627558
-4.18 -0.76849456398 -0.747963393829 -0.72786231155
-4.16 -0.764311035535 -0.743748719978 -0.723648538621
-4.14 -0.760201496635 -0.739567829958 -0.719481783688
-4.12 -0.7560751644 -0.735440548879 -0.715323672789
-4.1 -0.751934010719 -0.731317950692 -0.711236305832
-4.08 -0.747855060611 -0.727224034749 -0.707160499269
-4.06 -0.743811314408 -0.72317243924 -0.703123424951
-4.04 -0.739823074143 -0.71914954396 -0.699124268003
-4.02 -0.735827985094 -0.715174377851 -0.695159857403
-4.0 -0.731854377396 -0.711221667877 -0.691218810711
-3.98 -0.727899763211 -0.707274698826 -0.687325918379
-3.96 -0.723990288771 -0.703394332687 -0.683442220695
-3.94 -0.720102181619 -0.699551512231 -0.679632939394
-3.92 -0.71627078047 -0.695727519797 -0.675821674233
-3.9 -0.712447624441 -0.691922167658 -0.672050947699
-3.88 -0.708657026984 -0.688158116678 -0.668324916824
-3.86 -0.704891299155 -0.68441916015 -0.66464906833
-3.84 -0.701145133499 -0.680725958043 -0.660990849428
-3.82 -0.697420676364 -0.677059926107 -0.657340663355
-3.8 -0.693725647093 -0.673417816475 -0.65374466357
-3.78 -0.690069248123 -0.669827682636 -0.65019182612
-3.76 -0.686446477053 -0.666258492639 -0.646676261811
-3.74 -0.682846483718 -0.662743075409 -0.643219311994
-3.72 -0.679270930757 -0.659268989136 -0.639787460564
-3.7 -0.67572812064 -0.655799732344 -0.636396951621
-3.68 -0.6722190026 -0.652380215928 -0.633050770127
-3.66 -0.668757821016 -0.648998149186 -0.629745743339
-3.64 -0.665268151887 -0.645610907398 -0.626411458284
-3.62 -0.661857154104 -0.642260062841 -0.623157344444
-3.6 -0.658434652357 -0.638970638411 -0.619926089851
-3.58 -0.655083978459 -0.635703885265 -0.616737607754
-3.56 -0.651757087129 -0.632460015133 -0.613592794055
-3.54 -0.648457121388 -0.629248868004 -0.610461894464
-3.52 -0.645136604218 -0.626068638431 -0.607356647143
-3.5 -0.641868521612 -0.622900267754 -0.604285976227
-3.48 -0.6386335231 -0.619750022328 -0.601286983211
-3.46 -0.635451062912 -0.616634584097 -0.598286324742
-3.44 -0.632284503179 -0.613568754179 -0.595340165931
-3.42 -0.629131362799 -0.610537150059 -0.592397231717
-3.4 -0.626003603658 -0.607539358925 -0.589477087161
-3.38 -0.62286598533 -0.604568763708 -0.586587526727
-3.36 -0.61979870128 -0.601606012829 -0.58370620119
-3.34 -0.616735039589 -0.598670322554 -0.580879334727
-3.32 -0.613710651544 -0.595769377235 -0.578088949315
-3.3 -0.610712982052 -0.59291262787 -0.575328392535
-3.28 -0.607710783266 -0.590067839289 -0.572594701034
-3.26 -0.604768361158 -0.587245383099 -0.569873249214
-3.24 -0.601868351323 -0.584446891324 -0.567193980192
-3.22 -0.59898093709 -0.581657271924 -0.56452115123
-3.2 -0.596116590083 -0.578895869317 -0.561894185815
-3.18 -0.59328707421 -0.576172210448 -0.559281284527
-3.16 -0.590449259262 -0.573463025949 -0.556738298609
-3.14 -0.587617024781 -0.570789658057 -0.554190373812
-3.12 -0.58489654819 -0.568143887873 -0.551650177706
