# source_id - Gaia DR2 identifier
# flags - stream name
# source - the literature source (explained below)
# Keys for literature sources given in this column are the following: 
# Koposov10 - Koposov et al. 2010 radial velocities, the distances are estimated from fits to tracks
# Li17 - Li et al. 2017 radial velocities, the distances are estimated from fits to tracks
# Willet09 - Willet et al. 2009 radial velocities, the distances are estimated from fits to tracks
# Ibata17 - Ibata et al. 2017 radial velocities, the distances are estimated from fits to tracks
# PriceWhelan19 - Price-Whelan et al. 2019 distances, radial velocities are estimated from fits to tracks
# Koposov19 - Koposov et al. 2019 distances, radial velocities are estimated from fits to tracks
# Koposov19&Li17 - Koposov et al. 2019 distances, Li et al. 2017 radial velocities
# Koppelman19 - Koppelman et al. 2019 members
# dist - heliocentric distances (in kpc)
# radial_velocity - heliocentric radial velocities (in km/s)
# radial_velocity_error - radial velocity errors (in km/s), missing for the stars for which radial velocity was estimated from tracks


# source_id             flags    source           dist        radial_velocity   radial_velocity_error
  738914454301088896    Orphan   Li17             29.807959   196.12            2.26                   
  739171499503950720    Orphan   Li17             29.740154   177.25            6.22                   
  738998051544247808    Orphan   Li17             30.117119   186.11            2.68                   
  738864082924453888    Orphan   Li17             29.947079   194.87            4.97                   
  744807802266002432    Orphan   Li17             33.073368   188.13            8.92                   
  793633269661481344    Orphan   Li17             35.206013   166.88            8.85                   
  794975940861369216    Orphan   Li17             35.259357   164.12            13.73                  
  795306172306805120    Orphan   Li17             36.31406    145.65            8.84                   
  799409377903432192    Orphan   Li17             37.73744    156.22            9.04                   
  799481881247354496    Orphan   Li17             38.15481    150.28            2.85                   
  796532505729010048    Orphan   Li17             37.864605   151.61            3.84                   
  799585750736939136    Orphan   Li17             38.38615    156.17            1.95                   
  799820595251815552    Orphan   Li17             38.803017   142.93            3.6                    
  800525317782751104    Orphan   Li17             39.20228    147.77            8.38                   
  801079020669410048    Orphan   Li17             39.97202    146.47            7.46                   
  801391389347743104    Orphan   Li17             41.28932    137.32            2.64                   
